STATE,STNAME,CTYNAME,fips,state,Year,Population,Year_datetime
AK,Alaska,Sitka City and Borough,2220.0,AK,2002,8847,2002-01-01
AK,Alaska,Skagway Municipality,2230.0,AK,2002,854,2002-01-01
AK,Alaska,Southeast Fairbanks Census Area,2240.0,AK,2002,5612,2002-01-01
AK,Alaska,Valdez-Cordova Census Area,2261.0,AK,2002,10037,2002-01-01
AK,Alaska,Wrangell City and Borough,2275.0,AK,2002,2316,2002-01-01
AK,Alaska,Yakutat City and Borough,2282.0,AK,2002,749,2002-01-01
AK,Alaska,Yukon-Koyukuk Census Area,2290.0,AK,2002,6372,2002-01-01
AZ,Arizona,Apache County,4001.0,AZ,2002,67267,2002-01-01
AZ,Arizona,Cochise County,4003.0,AZ,2002,119750,2002-01-01
AZ,Arizona,Coconino County,4005.0,AZ,2002,120390,2002-01-01
AZ,Arizona,Gila County,4007.0,AZ,2002,51225,2002-01-01
AZ,Arizona,Graham County,4009.0,AZ,2002,33120,2002-01-01
AZ,Arizona,Greenlee County,4011.0,AZ,2002,7706,2002-01-01
AZ,Arizona,La Paz County,4012.0,AZ,2002,19346,2002-01-01
AZ,Arizona,Maricopa County,4013.0,AZ,2002,3299127,2002-01-01
AZ,Arizona,Mohave County,4015.0,AZ,2002,165177,2002-01-01
AZ,Arizona,Navajo County,4017.0,AZ,2002,101358,2002-01-01
AZ,Arizona,Pima County,4019.0,AZ,2002,886063,2002-01-01
AZ,Arizona,Pinal County,4021.0,AZ,2002,197830,2002-01-01
AZ,Arizona,Santa Cruz County,4023.0,AZ,2002,39288,2002-01-01
AZ,Arizona,Yavapai County,4025.0,AZ,2002,178390,2002-01-01
AZ,Arizona,Yuma County,4027.0,AZ,2002,166071,2002-01-01
AR,Arkansas,Arkansas County,5001.0,AR,2002,20263,2002-01-01
AR,Arkansas,Ashley County,5003.0,AR,2002,23758,2002-01-01
AR,Arkansas,Baxter County,5005.0,AR,2002,38642,2002-01-01
AR,Arkansas,Benton County,5007.0,AR,2002,167038,2002-01-01
AR,Arkansas,Boone County,5009.0,AR,2002,34432,2002-01-01
AR,Arkansas,Bradley County,5011.0,AR,2002,12438,2002-01-01
AR,Arkansas,Calhoun County,5013.0,AR,2002,5605,2002-01-01
AR,Arkansas,Carroll County,5015.0,AR,2002,25984,2002-01-01
AR,Arkansas,Chicot County,5017.0,AR,2002,13390,2002-01-01
AR,Arkansas,Clark County,5019.0,AR,2002,23548,2002-01-01
AR,Arkansas,Clay County,5021.0,AR,2002,16972,2002-01-01
AR,Arkansas,Cleburne County,5023.0,AR,2002,24324,2002-01-01
AR,Arkansas,Cleveland County,5025.0,AR,2002,8596,2002-01-01
AR,Arkansas,Columbia County,5027.0,AR,2002,25171,2002-01-01
AR,Arkansas,Conway County,5029.0,AR,2002,20297,2002-01-01
AR,Arkansas,Craighead County,5031.0,AR,2002,83978,2002-01-01
AR,Arkansas,Crawford County,5033.0,AR,2002,54698,2002-01-01
AR,Arkansas,Crittenden County,5035.0,AR,2002,51166,2002-01-01
AR,Arkansas,Cross County,5037.0,AR,2002,19254,2002-01-01
AR,Arkansas,Dallas County,5039.0,AR,2002,8780,2002-01-01
AR,Arkansas,Desha County,5041.0,AR,2002,14647,2002-01-01
AR,Arkansas,Drew County,5043.0,AR,2002,18486,2002-01-01
AR,Arkansas,Faulkner County,5045.0,AR,2002,90392,2002-01-01
AR,Arkansas,Franklin County,5047.0,AR,2002,17829,2002-01-01
AR,Arkansas,Fulton County,5049.0,AR,2002,11586,2002-01-01
AR,Arkansas,Garland County,5051.0,AR,2002,90151,2002-01-01
AR,Arkansas,Grant County,5053.0,AR,2002,16655,2002-01-01
AR,Arkansas,Greene County,5055.0,AR,2002,38030,2002-01-01
AR,Arkansas,Hempstead County,5057.0,AR,2002,23249,2002-01-01
AR,Arkansas,Hot Spring County,5059.0,AR,2002,30391,2002-01-01
AR,Arkansas,Howard County,5061.0,AR,2002,14221,2002-01-01
AR,Arkansas,Independence County,5063.0,AR,2002,34138,2002-01-01
AR,Arkansas,Izard County,5065.0,AR,2002,13109,2002-01-01
AR,Arkansas,Jackson County,5067.0,AR,2002,17685,2002-01-01
AR,Arkansas,Jefferson County,5069.0,AR,2002,82974,2002-01-01
AR,Arkansas,Johnson County,5071.0,AR,2002,23226,2002-01-01
AR,Arkansas,Lafayette County,5073.0,AR,2002,8192,2002-01-01
AR,Arkansas,Lawrence County,5075.0,AR,2002,17573,2002-01-01
AR,Arkansas,Lee County,5077.0,AR,2002,12120,2002-01-01
AR,Arkansas,Lincoln County,5079.0,AR,2002,14424,2002-01-01
AR,Arkansas,Little River County,5081.0,AR,2002,13351,2002-01-01
AR,Arkansas,Logan County,5083.0,AR,2002,22422,2002-01-01
AR,Arkansas,Lonoke County,5085.0,AR,2002,54974,2002-01-01
AR,Arkansas,Madison County,5087.0,AR,2002,14207,2002-01-01
AR,Arkansas,Marion County,5089.0,AR,2002,16094,2002-01-01
AR,Arkansas,Miller County,5091.0,AR,2002,40987,2002-01-01
AR,Arkansas,Mississippi County,5093.0,AR,2002,49877,2002-01-01
AR,Arkansas,Monroe County,5095.0,AR,2002,9667,2002-01-01
AR,Arkansas,Montgomery County,5097.0,AR,2002,9044,2002-01-01
AR,Arkansas,Nevada County,5099.0,AR,2002,9701,2002-01-01
AR,Arkansas,Newton County,5101.0,AR,2002,8506,2002-01-01
AR,Arkansas,Ouachita County,5103.0,AR,2002,27607,2002-01-01
AR,Arkansas,Perry County,5105.0,AR,2002,10338,2002-01-01
AR,Arkansas,Phillips County,5107.0,AR,2002,24772,2002-01-01
AR,Arkansas,Pike County,5109.0,AR,2002,11168,2002-01-01
AR,Arkansas,Poinsett County,5111.0,AR,2002,25237,2002-01-01
AR,Arkansas,Polk County,5113.0,AR,2002,20170,2002-01-01
AR,Arkansas,Pope County,5115.0,AR,2002,55307,2002-01-01
AR,Arkansas,Prairie County,5117.0,AR,2002,9380,2002-01-01
